StationID,COMID_WSC,COMID_GAGE,COMID_CAMELS,COMID_CLRHNA,COMID
01AK004,72046298.0,,,72046298.0,72046298.0
01AK005,72050334.0,,,72050334.0,72050334.0
01AK006,72050334.0,,72050334.0,72050334.0,72050334.0
01AK007,72047702.0,,72047702.0,72047702.0,72047702.0
01AK008,72047347.0,,,72047347.0,72047347.0
01AK009,72046298.0,,,72046298.0,72046298.0
01AK010,72046298.0,,,72046298.0,72046298.0
01AL001,72046616.0,,,72046616.0,72046616.0
01AL002,72046658.0,,72046658.0,72046658.0,72046658.0
01AL003,72041796.0,,,72041796.0,72041796.0
01AL004,72041796.0,,72041796.0,72041796.0,72041796.0
01AL005,72046860.0,,,,72046860.0
01AL006,72046860.0,,,,72046860.0
01AL007,72041796.0,,,72041796.0,72041796.0
01AL008,72041174.0,,,72041174.0,72041174.0
01AM001,72047261.0,,72047261.0,72047261.0,72047261.0
01AN001,72042817.0,,,72042817.0,72042817.0
01AN002,72046809.0,,72046809.0,72046809.0,72046809.0
01AO001,72046290.0,,,72046290.0,72046290.0
01AO002,72046290.0,,,72046290.0,72046290.0
01AO003,72046550.0,,,72046550.0,72046550.0
01AO004,72046550.0,,,72046550.0,72046550.0
01AO009,72050333.0,,,72050333.0,72050333.0
01AO010,72047161.0,,,72047161.0,72047161.0
01AO011,72046288.0,,,72046289.0,72046288.0
01AO012,72046287.0,,,72046287.0,72046287.0
01AP001,72047146.0,,,72047146.0,72047146.0
01AP002,72046253.0,,72046253.0,72046253.0,72046253.0
01AP003,72046214.0,,,,72046214.0
01AP004,72047146.0,,72047146.0,72047146.0,72047146.0
01AP005,72046207.0,,,,72046207.0
01AP006,72047717.0,,72047717.0,72047717.0,72047717.0
01AP009,72049512.0,,,72049512.0,72049512.0
01AP010,72049598.0,,,72049598.0,72049598.0
01AQ001,73000830.0,,73000830.0,73000830.0,73000830.0
01AQ002,73000507.0,,,73000507.0,73000507.0
01AQ003,73000932.0,,,73000932.0,73000932.0
01AQ004,73000893.0,,,73000893.0,73000893.0
01AQ005,73000502.0,,,73000502.0,73000502.0
01AQ006,73001482.0,,,73001482.0,73001482.0
01AQ007,73000134.0,,,73000134.0,73000134.0
01AQ008,73000526.0,,,73000526.0,73000526.0
01AQ009,73000990.0,,,73000990.0,73000990.0
01AR001,73001562.0,,,73001562.0,73001562.0
01AR002,86030157.0,,,86030157.0,86030157.0
01AR003,73000447.0,,,,73000447.0
01AR004,73000454.0,,,73000454.0,73000454.0
01AR005,73000446.0,,,73000446.0,73000446.0
01AR006,73001562.0,,,73001562.0,73001562.0
01AR007,73001503.0,,,73001503.0,73001503.0
01AR008,73001503.0,,,73001503.0,73001503.0
01AR009,73000121.0,,,73000121.0,73000121.0
01AR010,73000454.0,,,73000454.0,73000454.0
01AR011,73000121.0,,,73000121.0,73000121.0
